,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
0,1,1,1,1,147,9,233,22,426,5242,69964,35495,619,2587,9912,89981,357214,95925,60946,3880
1,1,1,1,1,1,56,1527,31,5491,2606,31918,17848,520,74057,16159,39079,2344,6160,37181,4945
2,1,1,1,1,28,226,58,2235,331,1356,135,7247,20281,51046,43,4534,538047,17328,25284,148928
3,1,1,1,1,4,10,130,69,15974,5005,16256,15429,200819,2350,18640,65850,4802,395099,57001,60545
4,1,1,1,1,35,536,1627,405,39,224806,1225,3149,337,27418,16615,12959,3681,7153,10235,76199
5,1,1,1,1,13,29,157,10,585,652,1330,841,66997,1258,6480,15286,14590,195993,134500,20888
6,1,1,1,1,10,214,52,3619,1397,2630,7681,5279,41211,38759,1882,8677,85205,231516,9226,184549
7,1,1,1,1,31,244,32,702,1726,51512,4167,7517,9373,2278,223140,13924,15289,1669,15430,5065
8,1,1,1,1,26,63,187,9,971,942,960,2666,56316,29772,4751,50348,11490,4549,20241,9378
9,1,1,1,1,1,6,313,441,5707,565,888,213329,848,1246,2893,57146,40818,8566,71929,78176
10,1,1,1,1,46,427,2701,616,2460,8007,519,26070,5355,71218,1916,1000000,5590,264345,7645,147901
11,1,1,1,1,90,12,57,98,430,794,351,2418,202,13652,27603,144028,10483,38312,40227,102871
12,1,1,1,1,34,407,32,256,34471,12539,279,429,1872,18312,9356,3424,1676,3422,132440,16186
13,1,1,1,1,1,76,65,43,1160,444,335,12633,5859,176416,84115,17319,138398,82374,15945,3850
14,1,1,1,1,2,280,2,3405,1084,2528,7233,5848,406,5449,15106,1000000,29253,6302,48237,10813
15,1,1,1,1,1,727,226,35,860,896,3360,10428,23829,8471,110108,21459,2462,165371,40933,4222
16,1,1,1,1,33,309,92,164,1781,2521,2641,30804,32451,97308,155757,175624,303024,64121,106272,1000000
17,1,1,1,1,30,16,826,1252,1857,7873,481,5830,10881,107119,454571,92437,1527,478409,14721,20423
18,1,1,1,1,2,72,15,117,28262,598,1652,61145,1304,347312,1000000,430543,6273,1375,91642,150332
